id,lead_id,question_id,from_who,employee_id,to_user_id,from_admin,req_language_id,res_language_id,delivery_type,webhook_req_id,units,answer_text,entities,read,use_ai,media_url,mime_type,sid,media_thumb,is_profile,MessageUUID,qtext,is_multiparts,ip,status,msg_type,is_smart_alerted,smart_alert_users,data,created_at,updated_at
1,1,1,57,333,656,652,815,599,48,944,6,Haskell features a type system with type inference and lazy evaluation.,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol.""",0,1,https://source.unsplash.com/1920x1080?,sec,apparently,https://source.unsplash.com/1920x1080?,1,73181e8a-c359-4aea-8975-47d15541aff4,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets.",5,14.40.5.133,10,8,3,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol.""",Its main implementation is the Glasgow Haskell Compiler.,2024-03-26 16:46:45.111384,2024-03-26 16:46:45.111384
2,2,2,976,622,478,320,428,879,69,548,3,Do you come here often?,Ports are used to communicate with the external world.,1,1,https://source.unsplash.com/1920x1080?,german,eight,https://source.unsplash.com/1920x1080?,0,2af00ec3-fe98-406f-bfc6-492373d68e2c,"The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn.",8,254.13.134.128,9,6,8,It is also a garbage-collected runtime system.,Ports are created with the built-in function open_port.,2024-03-26 16:46:45.111384,2024-03-26 16:46:45.111384
3,3,3,732,412,151,960,219,276,605,661,6,Atoms are used within a program to denote distinguished values.,"In 1989 the building was heavily damaged by fire, but it has since been restored.",0,1,https://source.unsplash.com/1920x1080?,made,fisher,https://source.unsplash.com/1920x1080?,1,555d255d-3e82-46b2-90fb-0c90835aaa47,Make me a sandwich.,4,143.235.208.154,2,9,7,"In 1989 the building was heavily damaged by fire, but it has since been restored.",It is also a garbage-collected runtime system.,2024-03-26 16:46:45.111384,2024-03-26 16:46:45.111384
4,4,4,659,561,921,740,118,663,305,272,8,Any element of a tuple can be accessed in constant time.,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase.",1,0,https://source.unsplash.com/1920x1080?,psp,changes,https://source.unsplash.com/1920x1080?,0,7d7c1ce3-a579-4db4-bb2e-05e74009d967,It is also a garbage-collected runtime system.,9,155.67.145.196,5,2,10,Ports are created with the built-in function open_port.,Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom.,2024-03-26 16:46:45.111384,2024-03-26 16:46:45.111384
5,5,5,570,227,306,243,995,259,579,735,10,"The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing.","She spent her earliest years reading classic literature, and writing poetry.",1,1,https://source.unsplash.com/1920x1080?,hop,delete,https://source.unsplash.com/1920x1080?,1,657c07d0-7120-4822-a814-008f6f81398d,Haskell features a type system with type inference and lazy evaluation.,3,79.246.190.211,6,10,5,Ports are used to communicate with the external world.,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol.""",2024-03-26 16:46:45.111384,2024-03-26 16:46:45.111384
6,6,6,571,787,999,710,49,849,429,874,2,"Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s.",Its main implementation is the Glasgow Haskell Compiler.,1,1,https://source.unsplash.com/1920x1080?,emotional,quest,https://source.unsplash.com/1920x1080?,1,358e5da3-5bb6-4a2f-a87e-d4cc1c7f04a2,Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom.,1,219.173.0.61,7,7,8,It is also a garbage-collected runtime system.,"She spent her earliest years reading classic literature, and writing poetry.",2024-03-26 16:46:45.111384,2024-03-26 16:46:45.111384
7,7,7,816,207,915,284,695,857,499,462,5,Atoms are used within a program to denote distinguished values.,Where are my pants?,0,0,https://source.unsplash.com/1920x1080?,memorial,employer,https://source.unsplash.com/1920x1080?,1,4245caa0-d0eb-4beb-9048-5432be3d401d,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets.",7,136.219.231.108,1,2,2,Ports are used to communicate with the external world.,Ports are used to communicate with the external world.,2024-03-26 16:46:45.111384,2024-03-26 16:46:45.111384
8,8,8,43,761,829,448,190,13,678,553,9,Do you come here often?,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets.",0,1,https://source.unsplash.com/1920x1080?,firefox,seat,https://source.unsplash.com/1920x1080?,0,f2ee5ec4-99b0-4e86-9749-aee1da5047de,Do you have any idea why this is not working?,7,215.107.177.199,4,3,4,"Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s.",Ports are created with the built-in function open_port.,2024-03-26 16:46:45.111384,2024-03-26 16:46:45.111384
9,9,9,520,694,143,12,229,265,521,816,9,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets.",Make me a sandwich.,0,1,https://source.unsplash.com/1920x1080?,memphis,welcome,https://source.unsplash.com/1920x1080?,0,89a1a33f-0fbb-47ab-830b-735391cb023e,Haskell features a type system with type inference and lazy evaluation.,5,51.194.114.18,7,7,7,Tuples are containers for a fixed number of Erlang data types.,Type classes first appeared in the Haskell programming language.,2024-03-26 16:46:45.111384,2024-03-26 16:46:45.111384
10,10,10,756,13,808,65,556,729,621,705,2,The arguments can be primitive data types or compound data types.,"In 1989 the building was heavily damaged by fire, but it has since been restored.",1,0,https://source.unsplash.com/1920x1080?,several,idea,https://source.unsplash.com/1920x1080?,1,6b39a0b8-cd7f-41c5-b919-14b53bd0572c,Do you have any idea why this is not working?,1,85.122.53.6,3,6,9,Tuples are containers for a fixed number of Erlang data types.,Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom.,2024-03-26 16:46:45.111384,2024-03-26 16:46:45.111384
